dates,APARCH_FHS,APARCH_Normal,APARCH_sTUDENT,caviar_AD,caviar_AS,caviar_IG,caviar_SAV,EGARCH st ,EGARCH-Norm,EGARCH_FHS,GARCH-FHS,Garch_Normal,Garch_Student,Historical-Simulation,Normal-Distribution,Riskmetrics-Results,Weighted-Historical-Simulation
2000-01-03,-4.496377326,-4.102106972,-4.510526961,-6.293788978552957,-3.2749891731571203,,-4.114633597095199,-4.503556666,-5.4405044170021135,-5.4405044170021135,-5.433640187,-4.7630203,-5.535959719,-6.311282574443317,-5.5024841651425165,-5.536352629656669,-5.247675885276257
2000-01-04,-6.093625006,-5.670986267,-6.036398285,-6.297737456594855,-9.132323203756808,,-5.419287875152954,-6.034513312,-6.683404118385609,-6.683404118385609,-6.886880989,-5.494236,-6.689921403,-6.235309033581579,-5.575792313922433,-6.407589235807095,-7.417077016609759
2000-01-05,-6.867261115,-6.417867202,-6.764640925,-6.301642772607905,-6.0413226262237085,,-5.688161859570554,-6.762456906,-7.229377996847551,-7.229377996847551,-7.311392842,-5.7624729,-7.067666358,-6.373835838478562,-5.6241106119587645,-6.009478898840115,-7.146204139569167
2000-01-06,-7.194538872,-6.706388629,-7.052940158,-6.296535383296513,-9.272424880529671,,-5.91827339592558,-7.062953569,-7.350050998971651,-7.350050998971651,-7.230928366,-5.8118118,-7.141299495,-6.0757985060381,-5.646950330067371,-5.805877623678734,-6.315299501369407
2000-01-07,-6.845888543,-6.390770577,-6.787732381,-6.299354044017276,-6.604801403491551,,-5.8144021318683805,-6.796249402,-7.252191192028179,-7.252191192028179,-7.139673286,-5.7305047,-7.01979143,-6.580207131275527,-5.632555052232081,-5.712157190123271,-5.4237413176722304
2000-01-10,-6.473915735,-6.041545121,-6.477711158,-6.302656495823576,-5.19836981728662,,-5.583054563634453,-6.479732373,-7.041058661757454,-7.041058661757454,-6.932168788,-5.6186847,-6.859005797,-5.945630774729374,-5.587007067845461,-5.6317532110859325,-7.368171425732656
2000-01-11,-6.139427053,-5.722106709,-6.187501206,-6.304070040304532,-4.489166492625344,,-5.378063822674167,-6.185935409,-6.806955306945154,-6.806955306945154,-6.622807539,-5.5067311,-6.695344192,-6.27683019166133,-5.541779041825166,-5.602758192722282,-6.494306546662316
2000-01-12,-5.793075727,-5.385331253,-5.871414283,-6.311226558794856,-4.022437706327697,,-5.128540081222969,-5.859669699,-6.484885801458422,-6.484885801458422,-6.437352954,-5.3706347,-6.514004768,-5.012362696903858,-5.511604365325318,-5.557080724165967,-6.985441261345285
2000-01-13,-5.556001479,-5.149506759,-5.629169375,-5.866703680989437,-4.840819154449417,,-4.754815794406276,-5.622182254,-6.211748569910424,-6.211748569910424,-6.21774089,-5.2435993,-6.331804732,-5.518296020808826,-5.419474720239736,-5.416379664545638,-5.829692404019464
2000-01-14,-5.230118499,-4.830987802,-5.319822401,-5.870052895815214,-3.7341635468232193,,-4.477687405479876,-5.29582658,-5.874262028001709,-5.874262028001709,-6.028548113,-5.1110277,-6.158673153,-5.399318341797104,-5.372133161560508,-5.3872217487203296,-7.656818044953208
2000-01-18,-5.146661056,-4.743259385,-5.235965438,-5.873408487156159,-4.808579329524488,,-4.687041602263423,-5.227276743,-5.9655521305274055,-5.9655521305274055,-6.003946139,-5.1005477,-6.156942571,-6.185611105531833,-5.373994199731159,-5.530134247877767,-6.589660839366621
2000-01-19,-6.482072015,-6.049778599,-6.494597029,-5.876778954423697,-7.504940660648209,,-5.639368606270493,-6.477875154,-6.935974132717552,-6.935974132717552,-7.032120793,-5.6341351,-6.924587873,-5.70883628539811,-5.450089007861775,-6.165087036231942,-6.139135247017505
2000-01-20,-6.531214513,-6.083422107,-6.52000239,-5.880160504459526,-7.774691265798294,,-5.546035082187333,-6.523348573,-6.867939755566173,-6.867939755566173,-6.873287851,-5.5839044,-6.841107621,-6.281565854286802,-5.415008959864031,-5.501232817239536,-5.8363527292428845
2000-01-21,-6.21550793,-5.789647127,-6.256499947,-5.883551078104395,-5.923386023534527,,-5.4438355710579005,-6.259882241,-6.705962682490963,-6.705962682490963,-6.664563049,-5.4864174,-6.712927405,-5.974264457329647,-5.409061262881429,-5.480035701015652,-7.44725636170029
2000-01-24,-5.80699639,-5.375790764,-5.866456648,-5.886953546202646,-4.953582933935921,,-5.017766247593224,-5.82985807,-6.271921438745885,-6.271921438745885,-6.43445841,-5.3414614,-6.511846821,-5.144018070727405,-5.409289790385565,-5.400392261783327,-8.037365742981066
2000-01-25,-5.43504951,-5.005925168,-5.510333377,-5.890365299171465,-3.848231948223473,,-4.159812248138019,-5.442922662,-5.875986009516584,-5.875986009516584,-6.203565003,-5.1976238,-6.31952597,-4.756946256008195,-5.387464588750085,-5.389186427516626,-6.819703176479835
2000-01-26,-5.609359648,-5.153097468,-5.673509197,-5.89378837557658,-4.964338075993062,,-5.277707060605794,-5.625556722,-6.433823773298734,-6.433823773298734,-6.617094118,-5.4871685,-6.703116112,-4.388635604264178,-5.4037554456335535,-5.900131493335512,-6.843014260457759
2000-01-27,-5.322436062,-4.869360793,-5.394909528,-5.8972124057585145,-4.104629684211142,,-5.03306012293073,-5.343935289,-6.189308401931333,-6.189308401931333,-6.424710402,-5.3593962,-6.52101328,-5.472964343076008,-5.401253376963266,-5.429775237898301,-7.021037661248826
